27.4	4	121	80	2670	15	79	
25.4	5	183	77	3530	20.1	79	
23	8	350	125	3900	17.4	79	
27.2	4	141	71	3190	24.8	79	
23.9	8	260	90	3420	22.2	79	
34.2	4	105	70	2200	13.2	79	
34.5	4	105	70	2150	14.9	79	
31.8	4	85	65	2020	19.2	79	
37.3	4	91	69	2130	14.7	79	
28.4	4	151	90	2670	16	79	
28.8	6	173	115	2595	11.3	79	
26.8	6	173	115	2700	12.9	79	
33.5	4	151	90	2556	13.2	79	
41.5	4	98	76	2144	14.7	80	
38.1	4	89	60	1968	18.8	80	
32.1	4	98	70	2120	15.5	80	
37.2	4	86	65	2019	16.4	80	
28	4	151	90	2678	16.5	80	
26.4	4	140	88	2870	18.1	80	
24.3	4	151	90	3003	20.1	80	
19.1	6	225	90	3381	18.7	80	
34.3	4	97	78	2188	15.8	80	
29.8	4	134	90	2711	15.5	80	
31.3	4	120	75	2542	17.5	80	
37	4	119	92	2434	15	80	
32.2	4	108	75	2265	15.2	80	
46.6	4	86	65	2110	17.9	80	
27.9	4	156	105	2800	14.4	80	
40.8	4	85	65	2110	19.2	80	
44.3	4	90	48	2085	21.7	80	
43.4	4	90	48	2335	23.7	80	
36.4	5	121	67	2950	19.9	80	
30	4	146	67	3250	21.8	80	
44.6	4	91	67	1850	13.8	80	
33.8	4	97	67	2145	18	80	
29.8	4	89	62	1845	15.3	80	
32.7	6	168	132	2910	11.4	80	
23.7	3	70	100	2420	12.5	80	
35	4	122	88	2500	15.1	80	
23.6	4	140	14.3	23.6	32.4	80	
32.4	4	107	72	2290	17	80	
27.2	4	135	84	2490	15.7	81	
26.6	4	151	84	2635	16.4	81	
25.8	4	156	92	2620	14.4	81	
23.5	6	173	110	2725	12.6	81	
30	4	135	84	2385	12.9	81	
39.1	4	79	58	1755	16.9	81	
39	4	86	64	1875	16.4	81	
35.1	4	81	60	1760	16.1	81	
32.3	4	97	67	2065	17.8	81	
37	4	85	65	1975	19.4	81	
37.7	4	89	62	2050	17.3	81	
34.1	4	91	68	1985	16	81	
34.7	4	105	63	2215	14.9	81	
34.4	4	98	65	2045	16.2	81	
29.9	4	98	65	2380	20.7	81	
33	4	105	74	2190	14.2	81	
34.5	4	100	15.8	3452	14.6	81	
33.7	4	107	75	2210	14.4	81	
32.4	4	108	75	2350	16.8	81	
32.9	4	119	100	2615	14.8	81	
31.6	4	120	74	2635	18.3	81	
28.1	4	141	80	3230	20.4	81						
30.7	6	145	76	3160	19.6	81	
25.4	6	168	116	2900	12.6	81	
24.2	6	146	120	2930	13.8	81	
22.4	6	231	110	3415	15.8	81	
26.6	8	350	105	3725	19	81	
20.2	6	200	88	3060	17.1	81	
17.6	6	225	85	3465	16.6	81	
28	4	112	88	2605	19.6	82	
27	4	112	88	2640	18.6	82	
34	4	112	88	2395	18	82	
31	4	112	85	2575	16.2	82	
29	4	135	84	2525	16	82	
27	4	151	90	2735	18	82	
24	4	140	92	2865	16.4	82	
23	4	151	30.5	3463	20.5	82	
36	4	105	74	1980	15.3	82	
37	4	91	68	2025	18.2	82	
31	4	91	68	1970	17.6	82	
38	4	105	63	2125	14.7	82	
36	4	98	70	2125	17.3	82	
36	4	120	88	2160	14.5	82	
36	4	107	75	2205	14.5	82	
34	4	108	70	2245	14.5	82	
38	4	91	67	1965	15	82	
32	4	91	67	1965	15.7	82	
38	4	91	67	1995	16.2	82	
25	6	181	110	2945	16.4	82	
38	6	262	85	3015	17	82	
26	4	156	92	2585	14.5	82	
22	6	232	112	2835	14.7	82	
32	4	144	96	2665	13.9	82	
36	4	135	84	2370	13	82	
27	4	151	90	2950	17.3	82	
27	4	140	86	2790	15.6	82	
44	4	97	52	2130	24.6	82	
32	4	135	84	2295	11.6	82	
28	4	120	79	2625	18.6	82	
