24.5	4	98	60	2164	22.1	76	
29	4	90	70	1937	14.2	76	
33	4	91	53	1795	17.4	76	
20	6	225	100	3651	17.7	76	
18	6	250	78	3574	21	76	
18.5	6	250	110	3645	16.2	76	
17.5	6	258	95	3193	17.8	76	
29.5	4	97	71	1825	12.2	76	
32	4	85	70	1990	17	76	
28	4	97	75	2155	16.4	76	
26.5	4	140	72	2565	13.6	76	
20	4	130	102	3150	15.7	76	
13	8	318	150	3940	13.2	76	
19	4	120	88	3270	21.9	76	
19	6	156	108	2930	15.5	76	
16.5	6	168	120	3820	16.7	76	
16.5	8	350	180	4380	12.1	76	
13	8	350	145	4055	12	76	
13	8	302	130	3870	15	76	
13	8	318	150	3755	14	76	
31.5	4	98	68	2045	18.5	77	
30	4	111	80	2155	14.8	77	
36	4	79	58	1825	18.6	77	
25.5	4	122	96	2300	15.5	77	
33.5	4	85	70	1945	16.8	77	
17.5	8	305	145	3880	12.5	77	
17	8	260	110	4060	19	77	
15.5	8	318	145	4140	13.7	77	
15	8	302	130	4295	14.9	77	
17.5	6	250	110	3520	16.4	77	
20.5	6	231	105	3425	16.9	77	
19	6	225	100	3630	17.7	77	
18.5	6	250	98	3525	19	77	
16	8	400	180	4220	11.1	77	
15.5	8	350	170	4165	11.4	77	
15.5	8	400	190	4325	12.2	77	
16	8	351	149	4335	14.5	77	
29	4	97	78	1940	14.5	77	
24.5	4	151	88	2740	16	77	
26	4	97	75	2265	18.2	77	
25.5	4	140	89	2755	15.8	77	
30.5	4	98	63	2051	17	77	
33.5	4	98	83	2075	15.9	77	
30	4	97	67	1985	16.4	77	
30.5	4	97	78	2190	14.1	77	
22	6	146	97	2815	14.5	77	
21.5	4	121	110	2600	12.8	77	
21.5	3	80	110	2720	13.5	77	
43.1	4	90	48	1985	21.5	78	
36.1	4	98	66	1800	14.4	78	
32.8	4	78	52	1985	19.4	78	
39.4	4	85	70	2070	18.6	78	
36.1	4	91	60	1800	16.4	78	
19.9	8	260	110	3365	15.5	78	
19.4	8	318	140	3735	13.2	78	
20.2	8	302	139	3570	12.8	78	
19.2	6	231	105	3535	19.2	78	
20.5	6	200	95	3155	18.2	78	
20.2	6	200	85	2965	15.8	78	
25.1	4	140	88	2720	15.4	78	
20.5	6	225	100	3430	17.2	78	
19.4	6	232	90	3210	17.2	78	
20.6	6	231	105	3380	15.8	78	
20.8	6	200	85	3070	16.7	78	
18.6	6	225	110	3620	18.7	78	
18.1	6	258	120	3410	15.1	78	
19.2	8	305	145	3425	13.2	78	
17.7	6	231	165	3445	13.4	78	
18.1	8	302	139	3205	11.2	78	
17.5	8	318	140	4080	13.7	78	
30	4	98	68	2155	16.5	78	
27.5	4	134	95	2560	14.2	78	
27.2	4	119	97	2300	14.7	78	
30.9	4	105	75	2230	14.5	78	
21.1	4	134	95	2515	14.8	78	
23.2	4	156	105	2745	16.7	78	
23.8	4	151	85	2855	17.6	78	
23.9	4	119	97	2405	14.9	78	
20.3	5	131	103	2830	15.9	78	
17	6	163	125	3140	13.6	78	
21.6	4	121	115	2795	15.7	78	
16.2	6	163	133	3410	15.8	78	
31.5	4	89	71	1990	14.9	78	
29.5	4	98	68	2135	16.6	78	
21.5	6	231	115	3245	15.4	79	
19.8	6	200	85	2990	18.2	79	
22.3	4	140	88	2890	17.3	79	
20.2	6	232	90	3265	18.2	79	
20.6	6	225	110	3360	16.6	79	
17	8	305	130	3840	15.4	79	
17.6	8	302	129	3725	13.4	79	
16.5	8	351	138	3955	13.2	79	
18.2	8	318	135	3830	15.2	79	
16.9	8	350	155	4360	14.9	79	
15.5	8	351	142	4054	14.3	79	
19.2	8	267	125	3605	15	79	
18.5	8	360	150	3940	13	79	
31.9	4	89	71	1925	14	79	
34.1	4	86	65	1975	15.2	79	
35.7	4	98	80	1915	14.4	79	
